_type,address_city,address_full,address_state,address_street,address_zipcode,area,area_unit,broker_name,currency,detail_url,has_image,id,image,lot_size,lot_unit,num_baths,num_beds,pets,price,rent_per,spider_name,status,tags,time_scraped,url
PropertyItem,Dublin,"2765 Sawmill Park DrDublin, OH 43017",OH,2765 Sawmill Park Dr,43017,752 - 884,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/2765-Sawmill-Park-Dr_Dublin_OH_43017_M33905-03762,TRUE,3390503762,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,2-Jan,2-Jan,Pets,971 - 1165,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"6146 Perimeter Lakes DrDublin, OH 43017",OH,6146 Perimeter Lakes Dr,43017,800 - 1400,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/6146-Perimeter-Lakes-Dr_Dublin_OH_43017_M45261-31390,TRUE,4526131390,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1 - 2.5,2-Jan,Pets,1230 - 1495,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"5211 Sawmill RdDublin, OH 43017",OH,5211 Sawmill Rd,43017,1300,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/5211-Sawmill-Rd_Dublin_OH_43017_M46414-34050,TRUE,4641434050,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,2.5,2,Pets,1299,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"5400 Asherton BlvdDublin, OH 43017",OH,5400 Asherton Blvd,43017,731 - 2214,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/5400-Asherton-Blvd_Dublin_OH_43017_M33485-05045,TRUE,3348505045,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1 - 2.5,2-Jan,Pets,1284 - 1671,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"6239 Craughwell LnDublin, OH 43017",OH,6239 Craughwell Ln,43017,1104,sqft,Street Sotheby's International Realty,$,https://www.realtor.com/realestateandhomes-detail/6239-Craughwell-Ln_Dublin_OH_43017_M39667-17716,TRUE,3966717716,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,2,2,null,1425,month,realtor_property,For Rent - Condo,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"3333 Chetwood PlDublin, OH 43017",OH,3333 Chetwood Pl,43017,null,null,null,$,https://www.realtor.com/realestateandhomes-detail/3333-Chetwood-Pl_Dublin_OH_43017_M40622-28584,TRUE,4062228584,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1.5,3,Pets,1795,month,realtor_property,For Rent - House,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"5851 Meadowhurst WayDublin, OH 43017",OH,5851 Meadowhurst Way,43017,1604,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/5851-Meadowhurst-Way_Dublin_OH_43017_M43781-31979,TRUE,4378131979,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1.5,3,Pets,1695,month,realtor_property,For Rent - House,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"2980 Mark Andrew DrDublin, OH 43017",OH,2980 Mark Andrew Dr,43017,720,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/2980-Mark-Andrew-Dr_Dublin_OH_43017_M36569-78974,TRUE,3656978974,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1,1,null,1769,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"6163 Craughwell LnDublin, OH 43017",OH,6163 Craughwell Ln,43017,920,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/6163-Craughwell-Ln_Dublin_OH_43017_M30344-50304,TRUE,3034450304,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,1,1,Dogs,1250,month,realtor_property,For Rent - Condo,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"5942 Berkshire Ct Unit 5942Dublin, OH 43017",OH,5942 Berkshire Ct Unit 5942,43017,1400,sqft,Red 1 Realty,$,https://www.realtor.com/realestateandhomes-detail/5942-Berkshire-Ct_Dublin_OH_43017_M31440-97929,TRUE,3144097929,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,2.5,2,null,1695,month,realtor_property,For Rent - House,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
PropertyItem,Dublin,"4272 McCune AveDublin, OH 43017",OH,4272 McCune Ave,43017,648 - 1290,sqft,null,$,https://www.realtor.com/realestateandhomes-detail/4272-McCune-Ave_Dublin_OH_43017_M35703-34404,TRUE,3570334404,https://static.rdc.moveaws.com/images/common/photos-coming-soon.svg,null,null,2-Jan,2-Jan,Pets,1109 - 1989,month,realtor_property,For Rent - Apartment,,2022-03-31-20-53-56,https://www.realtor.com/apartments/43017
